,rmse,mae,pnsr,ssim,ms_ssim,std,Date,bathy,Tide,Hs_m,Tp_m,Dir_m,rip
45,0.6266157,0.52281976,22.775156,0.7827537,0.9071969,1.7537218e-08,2017-03-29 07:00:00,2017-03-27,2.7917,0.9199999794363976,10.279999770224094,291.2,1
46,0.48206797,0.39260346,25.053015,0.8491646,0.93677795,1.6642446e-08,2017-03-29 07:15:00,2017-03-27,2.5038,0.9199999794363976,10.279999770224094,291.2,1
47,0.5005734,0.40082088,24.725826,0.87356436,0.9385917,1.569444e-08,2017-03-29 07:30:00,2017-03-27,2.21,0.9199999794363976,10.279999770224094,291.2,1
48,0.52550596,0.43512368,24.303627,0.8114472,0.9181506,1.5239948e-08,2017-03-29 08:00:00,2017-03-27,1.6349,0.909999979659915,9.9899997767061,277.5,1
49,0.46496478,0.39067993,25.36678,0.8160675,0.9226687,1.5705723e-08,2017-03-29 08:15:00,2017-03-27,1.3798,0.909999979659915,9.9899997767061,277.5,1
50,0.4771318,0.4095457,25.142414,0.7895738,0.9130805,1.5684321e-08,2017-03-29 08:30:00,2017-03-27,1.1392,0.909999979659915,9.9899997767061,277.5,1
51,0.49506155,0.39468098,24.821997,0.7601787,0.90111655,1.1352455e-08,2017-03-29 12:15:00,2017-03-27,1.1224,0.9899999778717756,18.8899995777756,277.5,1
52,0.551521,0.45267987,23.88394,0.7374457,0.8885183,1.058666e-08,2017-03-29 12:30:00,2017-03-27,1.3851,0.9899999778717756,18.8899995777756,277.5,1
53,0.4654969,0.35670173,25.356846,0.8120155,0.91865706,1.0446172e-08,2017-03-29 12:45:00,2017-03-27,1.6493,0.9899999778717756,18.8899995777756,277.5,1
54,0.4138011,0.32301188,26.379349,0.8358274,0.9333002,9.737278e-09,2017-03-29 13:00:00,2017-03-27,1.9421,1.0699999760836365,18.89999957755208,277.5,1
55,0.4285741,0.3104981,26.074663,0.86667037,0.9326049,1.0190718e-08,2017-03-29 13:30:00,2017-03-27,2.4753,1.0699999760836365,18.89999957755208,277.5,1
56,0.478933,0.34345683,25.109686,0.8369117,0.91840017,1.14366685e-08,2017-03-29 13:45:00,2017-03-27,2.737,1.0699999760836365,18.89999957755208,277.5,1
57,0.42790207,0.30868012,26.088293,0.81833,0.91537094,1.0775977e-08,2017-03-29 14:00:00,2017-03-27,2.9911,1.1599999740719795,18.78999958001077,277.5,1
58,0.42630225,0.31288218,26.120829,0.7841743,0.90789104,9.673215e-09,2017-03-29 14:15:00,2017-03-27,3.2449,1.1599999740719795,18.78999958001077,277.5,1
59,0.47413728,0.35047114,25.197098,0.7459346,0.8938641,8.82676e-09,2017-03-29 14:30:00,2017-03-27,3.4881,1.1599999740719795,18.78999958001077,277.5,1
60,0.45332778,0.35275242,25.586935,0.78369504,0.91971385,1.1857026e-08,2017-03-29 14:45:00,2017-03-27,3.7173,1.1599999740719795,18.78999958001077,277.5,1
61,0.42040884,0.31807008,26.241745,0.7764556,0.91001904,1.0625087e-08,2017-03-29 15:15:00,2017-03-27,4.0649,1.2599999718368051,18.519999586045746,277.5,1
62,0.4409131,0.33741915,25.828121,0.7616876,0.9074965,1.066698e-08,2017-03-29 15:30:00,2017-03-27,4.2018,1.2599999718368051,18.519999586045746,277.5,1
63,0.43132898,0.32737774,26.019009,0.7446345,0.9050916,1.0051593e-08,2017-03-29 15:45:00,2017-03-27,4.3152,1.2599999718368051,18.519999586045746,277.5,1
64,0.4967134,0.39157757,24.793064,0.7471029,0.9078981,1.2224973e-08,2017-03-29 16:00:00,2017-03-27,4.4061,1.3499999698251486,18.11999959498644,277.5,1
65,0.42527926,0.33423865,26.141697,0.77379227,0.91657263,1.1353194e-08,2017-03-29 16:15:00,2017-03-27,4.4633,1.3499999698251486,18.11999959498644,277.5,1
